3207
### GPU-accelerated Thermodynamic Topology Optimization ###
Dimension: 3
Number of Multigrid Levels: 5
Top-level grid size = { 96, 32, 16 }
Top-level mesh size = 0.03125
Top-level number of rows = 163251
Number of Elements = 49152
Assembly ... DONE
GMG :     0    1.000000e+00    1.000e-99      -----        --------      1.000e-12    
GMG :     1    3.566629e-01    1.000e-99    3.567e-01    3.566629e-01    1.000e-12    
GMG :     2    2.420647e-01    1.000e-99    6.787e-01    2.420647e-01    1.000e-12    
GMG :     3    2.289651e-01    1.000e-99    9.459e-01    2.289651e-01    1.000e-12    
GMG :     4    2.296243e-01    1.000e-99    1.003e+00    2.296243e-01    1.000e-12    
GMG :     5    2.293415e-01    1.000e-99    9.988e-01    2.293415e-01    1.000e-12    
GMG :     6    2.271470e-01    1.000e-99    9.904e-01    2.271470e-01    1.000e-12    
GMG :     7    2.236234e-01    1.000e-99    9.845e-01    2.236234e-01    1.000e-12    
GMG :     8    2.192907e-01    1.000e-99    9.806e-01    2.192907e-01    1.000e-12    
GMG :     9    2.144946e-01    1.000e-99    9.781e-01    2.144946e-01    1.000e-12    
GMG :    10    2.094564e-01    1.000e-99    9.765e-01    2.094564e-01    1.000e-12    
GMG :    11    2.043176e-01    1.000e-99    9.755e-01    2.043176e-01    1.000e-12    
GMG :    12    1.991688e-01    1.000e-99    9.748e-01    1.991688e-01    1.000e-12    
GMG :    13    1.940676e-01    1.000e-99    9.744e-01    1.940676e-01    1.000e-12    
GMG :    14    1.890502e-01    1.000e-99    9.741e-01    1.890502e-01    1.000e-12    
GMG :    15    1.841385e-01    1.000e-99    9.740e-01    1.841385e-01    1.000e-12    
GMG :    16    1.793454e-01    1.000e-99    9.740e-01    1.793454e-01    1.000e-12    
GMG :    17    1.746777e-01    1.000e-99    9.740e-01    1.746777e-01    1.000e-12    
GMG :    18    1.701381e-01    1.000e-99    9.740e-01    1.701381e-01    1.000e-12    
GMG :    19    1.657272e-01    1.000e-99    9.741e-01    1.657272e-01    1.000e-12    
GMG :    20    1.614435e-01    1.000e-99    9.742e-01    1.614435e-01    1.000e-12    
GMG :    21    1.572849e-01    1.000e-99    9.742e-01    1.572849e-01    1.000e-12    
GMG :    22    1.532484e-01    1.000e-99    9.743e-01    1.532484e-01    1.000e-12    
GMG :    23    1.493307e-01    1.000e-99    9.744e-01    1.493307e-01    1.000e-12    
GMG :    24    1.455285e-01    1.000e-99    9.745e-01    1.455285e-01    1.000e-12    
GMG :    25    1.418382e-01    1.000e-99    9.746e-01    1.418382e-01    1.000e-12    
GMG :    26    1.382563e-01    1.000e-99    9.747e-01    1.382563e-01    1.000e-12    
GMG :    27    1.347792e-01    1.000e-99    9.749e-01    1.347792e-01    1.000e-12    
GMG :    28    1.314036e-01    1.000e-99    9.750e-01    1.314036e-01    1.000e-12    
GMG :    29    1.281260e-01    1.000e-99    9.751e-01    1.281260e-01    1.000e-12    
GMG :    30    1.249434e-01    1.000e-99    9.752e-01    1.249434e-01    1.000e-12    
GMG :    31    1.218524e-01    1.000e-99    9.753e-01    1.218524e-01    1.000e-12    
GMG :    32    1.188501e-01    1.000e-99    9.754e-01    1.188501e-01    1.000e-12    
GMG :    33    1.159336e-01    1.000e-99    9.755e-01    1.159336e-01    1.000e-12    
GMG :    34    1.130999e-01    1.000e-99    9.756e-01    1.130999e-01    1.000e-12    
GMG :    35    1.103464e-01    1.000e-99    9.757e-01    1.103464e-01    1.000e-12    
GMG :    36    1.076704e-01    1.000e-99    9.757e-01    1.076704e-01    1.000e-12    
GMG :    37    1.050694e-01    1.000e-99    9.758e-01    1.050694e-01    1.000e-12    
GMG :    38    1.025408e-01    1.000e-99    9.759e-01    1.025408e-01    1.000e-12    
GMG :    39    1.000825e-01    1.000e-99    9.760e-01    1.000825e-01    1.000e-12    
GMG :    40    9.769198e-02    1.000e-99    9.761e-01    9.769198e-02    1.000e-12    
GMG :    41    9.536715e-02    1.000e-99    9.762e-01    9.536715e-02    1.000e-12    
GMG :    42    9.310589e-02    1.000e-99    9.763e-01    9.310589e-02    1.000e-12    
GMG :    43    9.090614e-02    1.000e-99    9.764e-01    9.090614e-02    1.000e-12    
GMG :    44    8.876593e-02    1.000e-99    9.765e-01    8.876593e-02    1.000e-12    
GMG :    45    8.668338e-02    1.000e-99    9.765e-01    8.668338e-02    1.000e-12    
GMG :    46    8.465666e-02    1.000e-99    9.766e-01    8.465666e-02    1.000e-12    
GMG :    47    8.268400e-02    1.000e-99    9.767e-01    8.268400e-02    1.000e-12    
GMG :    48    8.076370e-02    1.000e-99    9.768e-01    8.076370e-02    1.000e-12    
GMG :    49    7.889413e-02    1.000e-99    9.769e-01    7.889413e-02    1.000e-12    
GMG :    50    7.707371e-02    1.000e-99    9.769e-01    7.707371e-02    1.000e-12    
GMG :    51    7.530092e-02    1.000e-99    9.770e-01    7.530092e-02    1.000e-12    
GMG :    52    7.357429e-02    1.000e-99    9.771e-01    7.357429e-02    1.000e-12    
GMG :    53    7.189240e-02    1.000e-99    9.771e-01    7.189240e-02    1.000e-12    
GMG :    54    7.025389e-02    1.000e-99    9.772e-01    7.025389e-02    1.000e-12    
GMG :    55    6.865744e-02    1.000e-99    9.773e-01    6.865744e-02    1.000e-12    
GMG :    56    6.710179e-02    1.000e-99    9.773e-01    6.710179e-02    1.000e-12    
GMG :    57    6.558569e-02    1.000e-99    9.774e-01    6.558569e-02    1.000e-12    
GMG :    58    6.410798e-02    1.000e-99    9.775e-01    6.410798e-02    1.000e-12    
GMG :    59    6.266750e-02    1.000e-99    9.775e-01    6.266750e-02    1.000e-12    
GMG :    60    6.126317e-02    1.000e-99    9.776e-01    6.126317e-02    1.000e-12    
GMG :    61    5.989390e-02    1.000e-99    9.776e-01    5.989390e-02    1.000e-12    
GMG :    62    5.855869e-02    1.000e-99    9.777e-01    5.855869e-02    1.000e-12    
GMG :    63    5.725652e-02    1.000e-99    9.778e-01    5.725652e-02    1.000e-12    
GMG :    64    5.598646e-02    1.000e-99    9.778e-01    5.598646e-02    1.000e-12    
GMG :    65    5.474756e-02    1.000e-99    9.779e-01    5.474756e-02    1.000e-12    
GMG :    66    5.353895e-02    1.000e-99    9.779e-01    5.353895e-02    1.000e-12    
GMG :    67    5.235974e-02    1.000e-99    9.780e-01    5.235974e-02    1.000e-12    
GMG :    68    5.120912e-02    1.000e-99    9.780e-01    5.120912e-02    1.000e-12    
GMG :    69    5.008628e-02    1.000e-99    9.781e-01    5.008628e-02    1.000e-12    
GMG :    70    4.899043e-02    1.000e-99    9.781e-01    4.899043e-02    1.000e-12    
GMG :    71    4.792082e-02    1.000e-99    9.782e-01    4.792082e-02    1.000e-12    
GMG :    72    4.687673e-02    1.000e-99    9.782e-01    4.687673e-02    1.000e-12    
GMG :    73    4.585745e-02    1.000e-99    9.783e-01    4.585745e-02    1.000e-12    
GMG :    74    4.486230e-02    1.000e-99    9.783e-01    4.486230e-02    1.000e-12    
GMG :    75    4.389062e-02    1.000e-99    9.783e-01    4.389062e-02    1.000e-12    
GMG :    76    4.294177e-02    1.000e-99    9.784e-01    4.294177e-02    1.000e-12    
GMG :    77    4.201514e-02    1.000e-99    9.784e-01    4.201514e-02    1.000e-12    
GMG :    78    4.111013e-02    1.000e-99    9.785e-01    4.111013e-02    1.000e-12    
GMG :    79    4.022615e-02    1.000e-99    9.785e-01    4.022615e-02    1.000e-12    
GMG :    80    3.936267e-02    1.000e-99    9.785e-01    3.936267e-02    1.000e-12    
GMG :    81    3.851912e-02    1.000e-99    9.786e-01    3.851912e-02    1.000e-12    
GMG :    82    3.769499e-02    1.000e-99    9.786e-01    3.769499e-02    1.000e-12    
GMG :    83    3.688976e-02    1.000e-99    9.786e-01    3.688976e-02    1.000e-12    
GMG :    84    3.610295e-02    1.000e-99    9.787e-01    3.610295e-02    1.000e-12    
GMG :    85    3.533408e-02    1.000e-99    9.787e-01    3.533408e-02    1.000e-12    
GMG :    86    3.458269e-02    1.000e-99    9.787e-01    3.458269e-02    1.000e-12    
GMG :    87    3.384832e-02    1.000e-99    9.788e-01    3.384832e-02    1.000e-12    
GMG :    88    3.313054e-02    1.000e-99    9.788e-01    3.313054e-02    1.000e-12    
GMG :    89    3.242894e-02    1.000e-99    9.788e-01    3.242894e-02    1.000e-12    
GMG :    90    3.174310e-02    1.000e-99    9.789e-01    3.174310e-02    1.000e-12    
